127.0.0.1 - - [15/Jul/2023:14:50:34 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [15/Jul/2023:14:50:35 +0900] "GET /bbs/login.jsp HTTP/1.1" 200 3891
0:0:0:0:0:0:0:1 - - [15/Jul/2023:14:50:35 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Jul/2023:14:50:55 +0900] "POST /bbs/loginAction.jsp HTTP/1.1" 200 288
0:0:0:0:0:0:0:1 - - [15/Jul/2023:14:50:55 +0900] "GET /bbs/bbsListAction.jsp HTTP/1.1" 200 5018
0:0:0:0:0:0:0:1 - - [15/Jul/2023:14:50:58 +0900] "GET /bbs/bbsNoticeJSON.jsp HTTP/1.1" 200 1624
0:0:0:0:0:0:0:1 - - [15/Jul/2023:14:50:58 +0900] "GET /bbs/bbsNoticeJSON.jsp HTTP/1.1" 200 1624
0:0:0:0:0:0:0:1 - - [15/Jul/2023:14:51:00 +0900] "GET /bbs/bbsNoticeJSON.jsp HTTP/1.1" 200 1624
0:0:0:0:0:0:0:1 - - [15/Jul/2023:14:51:00 +0900] "GET /bbs/bbsNoticeJSON.jsp HTTP/1.1" 200 1624
0:0:0:0:0:0:0:1 - - [15/Jul/2023:14:51:03 +0900] "GET /bbs/viewAction.jsp?bbsId=10 HTTP/1.1" 200 5747
0:0:0:0:0:0:0:1 - - [15/Jul/2023:14:51:03 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Jul/2023:14:51:20 +0900] "GET /bbs/login.jsp HTTP/1.1" 200 3891
0:0:0:0:0:0:0:1 - - [15/Jul/2023:14:51:20 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Jul/2023:14:51:23 +0900] "POST /bbs/loginAction.jsp HTTP/1.1" 200 288
0:0:0:0:0:0:0:1 - - [15/Jul/2023:14:51:25 +0900] "GET /bbs/bbsListAction.jsp HTTP/1.1" 200 5018
0:0:0:0:0:0:0:1 - - [15/Jul/2023:14:51:35 +0900] "GET /bbs/bbsNoticeJSON.jsp HTTP/1.1" 200 1624
0:0:0:0:0:0:0:1 - - [15/Jul/2023:14:51:35 +0900] "GET /bbs/bbsNoticeJSON.jsp HTTP/1.1" 200 1624
0:0:0:0:0:0:0:1 - - [15/Jul/2023:14:53:41 +0900] "GET /bbs/bbsNoticeJSON.jsp HTTP/1.1" 200 1624
0:0:0:0:0:0:0:1 - - [15/Jul/2023:14:53:41 +0900] "GET /bbs/bbsNoticeJSON.jsp HTTP/1.1" 200 1624
0:0:0:0:0:0:0:1 - - [15/Jul/2023:14:53:59 +0900] "GET /bbs/bbsNoticeJSON.jsp HTTP/1.1" 200 1638
0:0:0:0:0:0:0:1 - - [15/Jul/2023:14:53:59 +0900] "GET /bbs/bbsNoticeJSON.jsp HTTP/1.1" 200 1638
